"","lizard_id","position","species","trt","clutch","hatch_date","date_start","age_start","sex","food_ingested","mass_before","mass_after","delta_mass","delta_mass_rescaled"
"50","1432","B3","guichenoti","CORT-Cold","CL385_22","9/1/2023","20/7/2023",192,"Male",-9.91764705882353,720,735,15,99
"51","1438","B1","guichenoti","CORT-Hot","CL386_22","21/12/2022","21/7/2023",212,"Male",2.08235294117647,669,754,85,169
"52","1442","E1","guichenoti","CORT-Cold","CL388_22","9/1/2023","20/7/2023",192,"Male",-10.9176470588235,429,501,72,156
"53","1443","E3","guichenoti","Control-Cold","CL388_22","9/1/2023","21/7/2023",193,"Male",-1.91764705882353,603,772,169,253
"54","1454","C4","delicata","CORT-Hot","CL392_22","19/12/2022","21/7/2023",214,"Female",4.08235294117647,646,805,159,243
"55","1459","D3","guichenoti","CORT-Cold","CL394_22","11/1/2023","20/7/2023",190,"Male",-0.91764705882353,561,690,129,213
"56","1463","C1","guichenoti","CORT-Hot","CL396_22","23/12/2022","20/7/2023",209,"Female",14.0823529411765,599,760,161,245
"57","1467","F4","guichenoti","Control-Hot","CL397_22","23/12/2022","20/7/2023",209,"Female",-1.91764705882353,824,929,105,189
"58","1478","A2","guichenoti","CORT-Cold","CL400_22","18/1/2023","20/7/2023",183,"Male",15.0823529411765,684,853,169,253
"59","1479","D1","guichenoti","Control-Hot","CL400_22","26/12/2022","21/7/2023",207,"Female",5.08235294117647,664,824,160,244
"60","1487","F1","delicata","Control-Cold","CL402_22","18/1/2023","21/7/2023",184,"Male",-8.91764705882353,517,494,-23,61
"61","1531","D2","delicata","Control-Cold","CL414_22","18/1/2023","21/7/2023",184,"Male",3.08235294117647,619,750,131,215
"62","1534","F2","guichenoti","Control-Cold","CL415_22","18/1/2023","21/7/2023",184,"Female",-5.91764705882353,568,651,83,167
"63","1562","A4","guichenoti","CORT-Hot","CL423_22","2/1/2023","21/7/2023",200,"Female",-8.91764705882353,603,695,92,176
"64","1565","E1","guichenoti","CORT-Hot","CL424_22","2/1/2023","20/7/2023",199,"Female",-7.91764705882353,607,654,47,131
"65","1580","F2","guichenoti","CORT-Hot","CL428_22","4/1/2023","21/7/2023",198,"Female",-0.91764705882353,750,810,60,144
"66","1609","A4","guichenoti","Control-Hot","CL437_22","2/1/2023","21/7/2023",200,"Female",8.08235294117647,701,916,215,299
"67","1611","C3","guichenoti","CORT-Hot","CL438_22","4/1/2023","21/7/2023",198,"Female",9.08235294117647,681,861,180,264
"68","1613","F2","guichenoti","CORT-Cold","CL439_22","23/1/2023","21/7/2023",179,"Male",8.08235294117647,656,755,99,183
"69","1619","G4","delicata","CORT-Cold","CL440_22","23/1/2023","21/7/2023",179,"Female",-1.91764705882353,514,646,132,216
