lizard_id,position,species,trt,clutch,hatch_date,date_start,age_start,sex,notes
1467,F4,guichenoti,A_28,CL397_22,23/12/2022,20/7/2023,209,Female,
1421,G1,guichenoti,B_23,CL382_22,6/1/2023,20/7/2023,195,Male,
1674,G1,guichenoti,B_23,CL455_22,9/1/2023,20/7/2023,192,Female,
2009,G1,guichenoti,A_28,CL542_22,25/1/2023,20/7/2023,176,Male,
1258,G2,delicata,A_28,CL334_22,5/12/2022,20/7/2023,227,Female,
1328,G2,delicata,A_23,CL357_22,26/12/2022,20/7/2023,206,Male,
1408,G2,delicata,B_28,CL379_22,14/12/2022,20/7/2023,218,Female,
1360,G3,guichenoti,A_28,CL366_22,14/12/2022,21/7/2023,219,Female,Empty
1795,G3,guichenoti,A_23,CL489_22,6/2/2023,21/7/2023,165,Female,
2081,G3,guichenoti,B_23,CL562_22,20/2/2023,21/7/2023,151,Male,
1223,G4,delicata,A_23,CL325_22,19/12/2022,21/7/2023,214,Female,
1334,G4,delicata,A_28,CL358_22,7/12/2022,21/7/2023,226,Female,Autotomized
1619,G4,delicata,B_23,CL440_22,23/1/2023,21/7/2023,179,Female,Empty
2242,G4,delicata,B_28,CL604_22,6/2/2023,21/7/2023,165,Male,
