lizard_id,lizard_id,position,species,trt,clutch,hatch_date,mass,SVL,TL,Day,Sex,food_ingested,lat_to_move,lat_to_shelter,lat_move_to_shelter,Emerged_after,emerged_40min,notes
LG1565_22,1565,E1,guichenoti,B_28,CL424_22,2/1/2023,0.607,29,41,Before,Female,14,771,829,58,0,0,
LD1174_22,1174,E2,delicata,A_23,CL313_22,2/12/2022,0.778,35,60,Before,Male,19,362,757,395,0,0,
LD1185_22,1185,E2,delicata,B_23,CL316_22,14/12/2022,0.71,34,53,Before,Male,12,411,416,5,0,0,
LD1402_22,1402,E2,delicata,A_28,CL377_22,16/12/2022,0.669,32,56,Before,Male,19,642,681,39,1,0,
LD2255_22,2255,E2,delicata,B_28,CL607_22,6/2/2023,0.416,27,39,Before,Female,9,484,704,220,0,0,Empty
LG1218_22,1218,E3,guichenoti,A_28,CL324_22,2/12/2022,0.578,30,47,Before,Female,15,21,149,128,0,0,Empty
LG1443_22,1443,E3,guichenoti,A_23,CL388_22,9/1/2023,0.603,31,46,Before,Male,20,5,23,18,1,0,
LG2164_22,2164,E3,guichenoti,B_23,CL584_22,24/2/2023,0.445,28,38,Before,Female,5,211,352,141,0,0,Empty
LD1172_22,1172,E4,delicata,B_28,CL313_22,16/11/2022,0.566,30,47,Before,Male,9,1096,1097,1,0,0,Empty
LD1239_22,1239,E4,delicata,A_23,CL329_22,21/12/2022,0.658,32,42,Before,Female,9,403,505,102,0,0,Autotomized
LD2346_22,2346,E4,delicata,B_23,CL633_23,3/3/2023,0.376,25,33,Before,Female,8,9,89,80,1,0,Possible tumor on throat
LD1230_22,1230,F1,delicata,B_28,CL327_22,2/12/2022,0.712,33,55,Before,Female,28,NA,68,NA,1,0,Empty
LD1487_22,1487,F1,delicata,A_23,CL402_22,18/1/2023,0.517,30,34,Before,Male,13,2,98,96,1,1,Autotomized; empty
LD2351_22,2351,F1,delicata,A_28,CL634_23,13/2/2023,0.7,32,43,Before,Male,6,17,27,10,0,0,
LG1419_22,1419,F2,guichenoti,A_28,CL382_22,16/12/2022,0.579,30,41,Before,Female,32,289,289,0,0,0,
LG1534_22,1534,F2,guichenoti,A_23,CL415_22,18/1/2023,0.568,31,17,Before,Female,16,140,166,26,1,1,Autotomized; empty
LG1580_22,1580,F2,guichenoti,B_28,CL428_22,4/1/2023,0.75,34,42,Before,Female,21,305,321,16,1,1,
LG1613_22,1613,F2,guichenoti,B_23,CL439_22,23/1/2023,0.656,31,42,Before,Male,30,140,160,20,1,1,
LD1182_22,1182,F3,delicata,B_23,CL315_22,12/12/2022,0.794,34,56,Before,Male,20,80,281,201,0,0,
